,Abbr,Fullform
91,0.O,Raised eyebrow
92,0/,Waving
93,0_0,Shocked
94,10-1,Radio code for 'Receiving poorly'
95,10-2,Radio code for 'Receiving well'
96,10-4,Understood OK
97,10CHAR,Padding where at least 10 characters are required
98,10Q,Thank you
99,10X,Thanks
100,1AAT,One At A Time
101,1D,One Direction 
102,1UP,Extra life in a game
103,2,To
104,.22,A handgun
105,24/7,Twenty-four hours a day seven days a week
106,2B,To Be
107,2BH,To Be Honest
108,2DAY,Today
109,2EZ,Too Easy
110,2G,Too Good
111,2G2BT,Too Good To Be True
112,2K10,2010
113,2K4U,To Cool For You
114,2K9,2009
115,2L8,Too late
116,2M,Tomorrow
117,2MI,Too Much Information
118,2MM,Tomorrow
119,2MORO,Tomorrow
120,2MOZ,Tomorrow
121,2MRO,Tomorrow
122,2MRW,Tomorrow
123,2NITE,Tonight
124,2NYT,Tonight
125,2U,To You
126,2U2,To You Too
127,3>,Hate
128,30STM,30 Seconds To Mars 
129,3DG,Three Days Grace 
130,3G,Third Generation mobile phone network
131,3Q,Thank You
132,4/20,April 20th
133,401K,Retirement investment plan
134,.44,.44 Magnum
135,4CHAN,Internet message
136,4COL,For Crying Out Loud
137,4E4,Forever
138,4EVA,Forever
139,4EVER,Forever
140,4G,4th Generation
141,4GET,Forget
142,4GM,Forgive me
143,4M,Forum
144,4RL?,For Real
145,4SHO,For Sure
146,4SRS,For Serious
147,4TW,For The Win
148,4U,For You
149,4WD,Four-Wheel Drive
150,4X4,Four wheel drive vehicle
151,4YEO,For Your Eyes Only
152,5 BY 5,Loud and clear fine
153,5 HOLE,Gap between goalie's legs in hockey
154,5EVER,Because Forever Isn't Long Enough
155,5N,Fine
156,5X5,Loud and Clear
157,6_6,Looking down
158,7DAW,Seven Days A Week
159,8),Cool
160,8*,Kiss
161,8-),Cool 
162,8-|,Nerdy 
163,80S,The Eighties
164,8====D,Penis
165,8===D,A Penis
166,8BALL,1
167,8D,Manic
168,8|,Balls To The Wall
169,9JA,Nigeria
170,9_9,Rolling the eyes
171,:$,Embarrassed
172,:&,Tongue tied
173,:>,Mischievous smile
174,:<,Sad
175,:'(,Crying
176,:'),Crying with joy
177,:(,Unhappy
178,:(:),Pig
179,:(|),Monkey
180,:),Happy
181,:*,Kiss
182,:-(,Sad
183,:-),Smile
184,:-*,Kiss
185,:-D,Laughing
186,:-P,Sticking Their Tongue Out
187,:/,Sarcasm
188,:0,Surprised
189,:3,Cute
190,:9,Yum
191,:?,Confused
192,:@,Angry
193,:B,Buck teeth
194,:C,Very Sad
195,:D,Happy
196,:DD,Very happy
197,:F,Drooling
198,:J,Smirk
199,:K,Vampire teeth
200,:L,Laughing
201,:O,Surprised
202,:O),Clown nose smiley face
203,:P,Sticking tongue out
204,:Q,Smoking
205,:S,Confused
206,:T,Side smile
207,:X,Zipped lips
208,:[,Sad
209,:\,Emoticon Meaning Confusion
210,:],Happy
211,:{),Happy with a moustache
212,:|,Disgust
213,;(,Crying
214,;),Wink
215,;-),Wink
216,;;,Sad
217,;O,Joking
218,;D,Wink
219,;P,Winking and sticking tongue out
220,;P;,Misspelling of LOL
221,=,Equals
222,=),Happy
223,=*,Kiss
224,=.=,Tired
225,=/=,Not equal to
226,=0,Surprised
227,=3,Cute
228,=D,:D
229,=F,Vampire
230,=I,Indifference
231,=P,Sticking tongue out
232,=S,Confused
233,=W=,Weezer 
234,=X,No Comment
235,=[,Sad
236,=],Happy
237,?4U,Question For You
238,??,What
239,?_?,Confused
240,@,At
241,@.@,Confused
242,@@@,Warning of parents nearby
243,@_@,Hypnotized
244,@}--->----,A rose
245,A&E,Accident & Emergency
246,A&F,Always And Forever
247,A&R,Artists & Repertoire
248,A/N,Author's Note
249,A/W,Anyway
250,A1,Top quality
251,A2DP,Advanced Audio Distribution Profile
252,A3,Anywhere Any time Any place
253,A7A,Frusration anger
254,A7X,Avenged Sevenfold 
255,AA,Alcoholics Anonymous
256,AAA,American Automobile Association
257,AAB,Average At Best
258,AAC,Apple Audio Compression
259,AAF,Always and Forever
260,AAK,Alive And Kicking
261,AAMOF,As A Matter Of Fact
262,AAP,Always A Pleasure
263,AAR,At Any Rate
264,AARP,American Association of Retired Persons
265,AAT,And Another Thing
266,AAWY,And Also With You
267,AAYF,As Always Your Friend
268,ABBR,Abbreviation
269,ABC,American Born Chinese
270,ABD,Already Been Done
271,ABDC,America's Best Dance Crew 
272,ABF,All But Face
273,ABFAB,Absolutely Fabulous
274,ABG,Asian Baby Girl
275,ABH,Actual Bodily Harm
276,ABO,Aborigine
277,ABP,Already Been Posted
278,ABS,Absolutely
279,ABT,About
280,ABT2,About To
281,ABU,Anyone but Manchester United
282,AC,Air Conditioning
283,AC/DC,Rock Band
284,ACAPELLA,Vocal music without instruments
285,ACC,Actually
286,ACCT,Account
287,ACE,Excellent
288,ACID,LSD
289,ACK,Disgust
290,ACLU,American Civil Liberties Union
291,ACME,A Company that Makes Everything
292,ACP,Automatic Colt Pistol
293,ACT,SAT type test
294,ACTA,Anti-Counterfeiting Trade Agreement
295,ACU,Army Combat Uniform
296,AD,Anno Domini
297,AD HOC,For the specific purpose
298,ADAD,Another Day Another Dollar
299,ADD,Attention Deficit Disorder
300,ADDY,Address
301,ADED,All Day Every Day
302,ADEROL,Drug that helps you focus
303,ADGTH,All Dogs Go To Heaven
304,ADHD,Attention Deficit Hyperactivity Disorder
305,ADL,All Day Long
306,ADM,Ay Dios Mio
307,ADMIN,Administrator on forum network etc
308,ADN,Any Day Now
309,ADORBS,Adorable
310,ADR,All Due Respect
311,ADS,Aim Down Sights
312,ADSL,Asymmetric Digital Subscriber Line
313,ADTR,A Day To Remember 
314,AE,American Eagle
315,AEAE,And Ever And Ever
316,AEAP,As Early As Possible
317,AF,As Fuck
318,AFAIA,As Far As I'm Aware
319,AFAIAA,As Far As I Am Aware
320,AFAIAC,As Far As I Am Concerned
321,AFAIC,As Far As I'm Concerned
322,AFAICS,As Far As I Can See
323,AFAICT,As Far As I Can Tell
324,AFAIK,As Far As I Know
325,AFAIR,As Far As I Remember
326,AFAP,As Far As Possible
327,AFC,Away From Computer
328,AFF,Affirmative
329,AFFA,Angels Forever Forever Angels
330,AFI,A Fire Inside 
331,AFK,Away From Keyboard
332,AFL,Australian Football League
333,AFN,All For Now
334,AFP,Away From Phone
335,AFRL,Away From Real Life
336,AFRO,Hairstyle from Africa
337,AFS,Always Forever and Seriously
338,AG,Aggressive
339,AGC,Automatic Gain Control
340,AGG,Cool
341,AGGY,Aggitated
342,AGH,Ain't Gonna Happen
343,AGM,Annual General Meeting
344,AGP,Accelerated Graphics Port
345,AGRO,Aggravation
346,AGT,America's Got Talent 
347,AGW,All Going Well
348,AHA,discovery
349,AHEM,Throat clearing sound
350,AHO,Idiot
351,AHT,Out
352,AI,Artificial Intelligence
353,AIB,Am I Boverd
354,AIDS,Acquired Immune Deficiency Syndrome
355,AIGF,All In Good Fun
356,AIGHT,All right
357,AII,Alright
358,AIIC,As If I Care
359,AIIT,Alright
360,AIKRN,All I know right now
361,AIM,AOL Instant Messanger
362,AIMBOT,Trageting script in games
363,AIMH,Always In My Heart
364,AIMO,Idiot
365,AIN'T,Am not
366,AINEC,And It's Not Even Close
367,AINT,Am not
368,AIO,All In One
369,AIR,Blanked
370,AIRHEAD,Stupid person
371,AISB,As I Said Before
372,AISI,As I See it
373,AIT,Alright
374,AITE,Alright
375,AITR,Adult In The Room
376,AITYD,And I Think You Do
377,AIUI,As I Understand it
378,AIYA,Cantonese expression of exasperation
379,AIYC,As If You Care
380,AJ,Apple Juice
381,AK,AK-47 Assault Rifle
382,AK47,Assault rifle
383,AKA,Also Known As
384,AKI,Autumn
385,AKML,Avada Kedavra My Life 
386,AKS,Ask
387,AKTF,Always Keep the Faith
388,AL,Alcohol
389,ALA,In the style of
390,ALAP,As Long As Possible
391,ALAS,regret
392,ALCHY,Alcoholic
393,ALCO,Alcoholic
394,ALF,Animal Liberation Front
395,ALG,Ain't Life Grand
396,ALI,Best Friend
397,ALIE,Init
398,ALIHAL,At Least I Have A Life
399,ALK,Alcohol
400,ALKQN,Almighty Latin King and Queen Nation
401,ALL- NIGHTER,Stay Up All Night
402,ALLOW,Let it be
403,ALOL,Actually Laughing Out Loud
404,ALOTBSOL,Always Look On The Bright Side Of Life
405,ALPHA,Head person of a group
406,ALRATO,Later
407,ALT,Alternative character in RPG
408,ALU,Arithmetic Logic Unit
409,ALV,Asta La Vista
410,ALWP,Actual Laughter Was Produced
411,AMA,Ask Me Anything
412,AMAA,Ask Me Almost Anything
413,AMAP,As Much As Possible
414,AMC,American Motors Corportation
415,AMD,Advanced Micro Devices
416,AMEX,American Express
417,AMG,Ah My God
418,AMIGO,Friend
419,AMIRITE,Am I Right
420,AML,All My Love
421,AMN,Any Minute Now
422,AMOF,As a Matter of Fact
423,AMOG,Alpha Male Of Group
424,AMP,Amplifier
425,AMPED,Excited
426,AMT,Alpha-Methyltryptamine
427,AMTRAK,American passenger railroad corporation
428,AMV,Anime Music Video
429,AMW,America's Most Wanted 
430,AMZ,Amazing
431,ANC,African National Congress
432,ANF,Abercrombie & Fitch
433,ANFAWFOS,And Now For A Word From Our Sponsor
434,ANFSCD,And Now For Something Completely Different
435,ANIME,Japanese style animation
436,ANO,Anorexic
437,ANON,Unknown person
438,ANS,Answer
439,ANSI,American National Standards Institute
440,ANTI,Against
441,ANTM,America's Next Top Model
442,ANY1,Anyone
443,ANYWHO,Anyhow
444,ANZAC,Australian and New Zealand Army Corps
445,AO,Adults Only
446,AOB,Any Other Business
447,AOD,All Of Day
448,AOE,Area Of Effect
449,AOK,Age of Kings 
450,AOL,American Online
451,AOM,Age of Mythology 
452,AON,All Or Nothing
453,AOS,Ahead Of Schedule
454,AOT,As Opposed To
455,AOTA,All Of The Above
456,AOTS,Attack of the Show 
457,AOW,All Out War
458,AOYP,Angel on Your Pillow
459,AP,Associated Press
460,APB,All Points Bulletin
461,APC,Armoured Personnel Carrier
462,APE,Mad
463,API,Application Programming Interface
464,APM,Actions Per Minute
465,APN,As Per Normal
466,APO,Authorized Personnel Only
467,APP,Application 
468,APPROX,Approximately
469,APPS,Applications 
470,APR,Annual Percentage Rate
471,APT,Apartment
472,APU,As Per Usual
473,APYR,As Per Your Request
474,AQ,Adventure Quest 
475,AQAP,As Quickly As Possible
476,AQF,Ay Que Funny
477,AR,Assault Rifle
478,ARD,Alright
479,AREA 51,Top secret military base in Nevada
480,ARF,Laugh
481,ARG,Alternate Reality Gaming
482,ARGH,frustration
483,ARIGATO,Thank You
484,ARK,Act of Random Kindness
485,ARPA,Advanced Research Projects Agency
486,ARPANET,Advanced Research Projects Agency Network
487,ARPU,Average Revenue Per User
488,ART,Alright
489,ARVO,Afternoon
490,ASA,And So On
491,ASAIC,As Soon As I Can
492,ASAIK,As Soon As I Know
493,ASAP,As Soon As Possible
494,ASAS,As Soon As Sensible
495,ASAT,As Simple As That
496,ASAYC,As Soon As You Can
497,ASBO,Anti Social Behaviour Order
498,ASCII,American Standard Code for Information Interchange
499,ASD,Sequence of letters on many keyboards
500,ASDFGHJKL,Excitement
501,ASDFGHJKL;,I'm bored
502,ASDFGHJKL;',When A Feeling Cannot Be Expressed In Words
503,ASF,And So Forth
504,ASG,Asgarv
505,ASIC,Application Specific Integrated Circuit
506,ASL,Age Sex Location
507,ASLP,Age Sex Location Picture
508,ASM,Assembly computer language
509,ASN,Any Second Now
510,ASO,I see
511,ASP,At Some Point
512,ASPCA,American Society for the Prevention of Cruelty to Animals
513,AT&T,American Telephone & Telegraph
514,ATA,Actual Time of Arrival
515,ATAP,Any Time Any Place
516,ATB,All The Best
517,ATC,Air Traffic Control
518,ATD,Attention to Detail
519,ATEOTD,At The End Of The Day
520,ATF,All Time Favorite
521,ATGATT,All The Gear All The Time
522,ATH,All Time High
523,ATI,Array Technology Inc.
524,ATK,Attack
525,ATL,Atlanta Georgia
526,ATM,At The Moment
527,ATMO,According To My Opinion
528,ATN,Any Time Now
529,ATOY,Always Thinking of you
530,ATQ,Answer The Question
531,ATST,At The Same Time
532,ATT,At This Time
533,ATTN,Attention
534,ATTT,Ain't That The Truth
535,ATTY,Atomizer from electronic cigarette
536,ATV,All Terrain Vehicle
537,ATVB,All The Very Best
538,ATW,All The Way
539,ATWA,Air Trees Water Animals
540,ATX,Austin Texas
541,ATYS,Anything You Say
542,AU,Alternate Universe
543,AUD,Australian Dollar
544,AUO,I don't know
545,AUP,Another Useless Post
546,AUS,Are You Serious
547,AUSSIE,A Person From Australia
548,AV,Anti-Virus
549,AVA,Angels and Airwaves 
550,AVG,Average
551,AVGN,Angry Video Game Nerd
552,AVI,Audio Video Interleaved 
553,AVO,Afternooon
554,AVPM,A Very Potter Musical
555,AWA,As Well As
556,AWD,All Wheel Drive
557,AWESOME,Amazing
558,AWHFY,Are We Having Fun Yet
559,AWK,Awkward
560,AWKS,Awkward
561,AWKY,Awkward
562,AWNP,All Work No Play
563,AWOL,Absent Without Leave
564,AWP,Arctic Warfare Police sniper rifle
565,AWS,As We Speak
566,AWS,As We Speak
567,AWSM,Awesome
568,AWW,Cute
569,AX,Ask
570,AYB,All Your Base
571,AYBABTU,All Your Base Are Belong To Us
572,AYBRB2U,All Your Base Are Belong To Us
573,AYC,At Your Convenience
574,AYCS,As You Can See
575,AYE,Yes
576,AYEC,At Your Earliest Convenience
577,AYFR,Are You For Real
578,AYFT,Are You Free Today
579,AYK,As You Know
580,AYKM,Are You Kidding Me
581,AYL,Are You Listening
582,AYO,Hey You
583,AYOR,At Your Own Risk
584,AYPI,And Your Point Is
585,AYR,Are You Ready
586,AYRTON,Tenner
587,AYS,Are You Serious
588,AYSOS,Are You Stupid Or Something
589,AYT,Are You There
590,AYW,As You Wish
591,AYYO,Hi hello
592,AZN,Asian
593,B,Be
594,B&,Banned
595,B&B,Bed & Breakfast
596,B&D,Bondage And Discipline
597,B&E,Breaking And Entering
598,B&M,Bricks and Mortar
599,B&W,Black and White
600,B),Smiley with sunglasses
601,B-DAY,Birthday
602,B/C,Because
603,B/W,Between
604,B2B,Back To Back
605,B2C,Business To Consumer
606,B2W,Back To Work
607,B4,Before
608,B4MV,Bullet For My Valentine 
609,B4N,Bye For Now
610,B4U,Before you
611,B4YKI,Before You Know It
612,B7,Banned 
613,BAAS,Boss
614,BABYSITTING,Holding the weed too long
615,BAC,Back At Computer
616,BACS,Bankers Automated Clearing System
617,BAD,Good
618,BADASS,Cool
619,BADMAN,Gangster
620,BAE,Baby
621,BAFO,Best And Final Offer
622,BAG,Get
623,BAGL,Bust A Gut Laughing
624,BAH,Bored As Hell
625,BAHAHA,Evil laugh
626,BAI,Bye
627,BAIL,Leave
628,BAIRN,Child
629,BAIT,Blatant
630,BAK,Back At Keyboard
631,BAKA,Fool
632,BAKE,Smoke marijuana
633,BAKED,Stoned
634,BALLER,Successful ball player
635,BALLIN,Playing basketball
636,BALLSY,Courageous
637,BAM,Below Average Mentality
638,BAMA,Person lacking style
639,BAMN,By Any Means Necessary
640,BANDWIDTH,Amount of data through an interface over time
641,BANGER,Great party
642,BANGING,Very beautifu
643,BANGTIDY,Sexy
644,BANJAX,Break
645,BANTER,Playful
646,BAO,Be Aware Of
647,BARBIE,Barbecue
648,BARE,Lots of
649,BARE BACK,Unprotected Sex
650,BARF,Throw up
651,BARKING,Mad
652,BARN,Barnacle
653,BASER,Drug user
654,BASIC,Uncool
655,BATE,Obvious
656,BATO,Dude
657,BAU,Business As Usual
658,BAY,Baby
659,BB,Big Brother
660,BB4N,Bye-Bye For Now
661,BBALL,Basketball
662,BBAM,Be Back After Meal
663,BBB,Bugging Beyond Belief
664,BBBW,Big Beautiful Black Woman
665,BBC,British Broadcasting Corporation
666,BBE,Babe
667,BBEG,Big Bad Evil Guy
668,BBFL,Best Buds For Life
669,BBFN,Bye Bye For Now
670,BBG,Best Be Going
671,BBIAB,Be Back In A Bit
672,BBIAF,Be Back In A Few
673,BBIAM,Be Back In A Minute
674,BBIAS,Be Back In A Sec
675,BBIAW,Be Back In A While
676,BBK,Boy Better Know
677,BBL,Be Back Later
678,BBM,Blackberry Messaging
679,BBML,Be Back Much Later
680,BBN,Be Back Never
681,BBO,Being Bored Online
682,BBQ,Barbecue
683,BBR,Blonde Brunette Redhead
684,BBS,Be Back Soon
685,BBT,Be Back Tomorrow
686,BBV,Brags Beats and Variance
687,BBW,Big Beautiful Woman
688,BBWL,Be Back Way Later
689,BBY,Baby
690,BBYG,Baby Girl
691,BBZ,Babes
692,BC,Before Christ
693,BCBW,Bow Chica Bow Wow
694,BCC,Blind Carbon Copy
695,BCD,Behind Closed Doors
696,BCE,Before Common Era
697,BCF,Best Cousin Forever
698,BCG,Birth Control Glasses
699,BCNU,Be Seeing You
700,BCOS,Because
701,BCS,Bowl Championship Series
702,BD,Big Deal
703,BDAY,Birthday
704,BDN,Busy Doing Nothing
705,BDOML,Best Day Of My Life
706,BDONG,Bad and Wrong
707,BDRIP,Blu-ray Disc RIP
708,BDU,Brain Dead User
709,BEAK,Nose
710,BEANS,Ecstacy
711,BEAR,Large man with body hair
712,BEAST,Person
713,BEASTLY,Being good at something
714,BEB,Babe
715,BEBE,Babe
716,BEBO,A social networking site
717,BEEF,Problem
718,BEF,Best Enemies Forever
719,BEG,Big Evil Grin
720,BEH,disinterest
721,BELF,Blood Elf
722,BELLIG,Belligerant
723,BENJAMIN,$100 bill
724,BENT,Dishonest
725,BER,Beyond Economical Repair
726,BERK,Idiot
727,BESITOS,Little kisses
728,BESO,Kiss
729,BESOS,Kisses
730,BESTIE,Best Friend
731,BESTY,Best Friend
732,BET,Black Entertainment Television
733,BETA,Pre-release version
734,BF,Boyfriend
735,BF2,Battlefield 2 
736,BF4L,Best Friends For Life
737,BFA,Best Friends Always
738,BFAB,Born From A Boombox
739,BFAM,Brother From Another Mother
740,BFB,Better From Behind
741,BFF,Best Friends Forever
742,BFF4L,Best Friend Forever For Life
743,BFFAE,Best Friends Forever And Ever
744,BFFE,Best Friends Forever
745,BFFL,Best Friend For Life
746,BFFLE,Best Friends For Like Ever
747,BFFLTDDUP,Best Friends For Life Till Death Do Us Part
748,BFFN,Best Friend For Now
749,BFFWB,Best Friend Forever With Benefits
750,BFITW,Best Friend In The World
751,BFK,Big Fat Kiss
752,BFMV,Bullet For My Valentine 
753,BFN,Bye For Now
754,BFP,Bad For Pics
755,BFTP,Blast From The Past
756,BFUT,Best Friends Until Tomorrow
757,BFWB,Best Friend With Benefits
758,BG,Bad Game
759,BGD,Black Gangster Disciples
760,BGF,Best Girl
761,BGL,Big Game License
762,BGM,Background Music
763,BGT,Britain's Got Talent 
764,BH,Be Happy
765,BHD,Bad Hair Day
766,BHH,Bless His
767,BHL8,Be Home Late
768,BHM,Big Handsome Man
769,BHO,Barak Hussein Obama
770,BHS,Be Home Soon
771,BHUM,Sexy
772,BIAB,Back In A Bit
773,BIC,Believe It Comrade
774,BICBW,But I Could Be Wrong
775,BIDDIE,Good looking girl
776,BIDDY,Girl
777,BIEH,Best I Ever Had
778,BIFF,Best Friend
779,BIFFL,Best Internet Friend For Life
780,BIFFLE,BFFL
781,BIG,Great
782,BIG TIME,More than usual
783,BIG UP,respect
784,BIL,Brother In-Law
785,BILY,Because I Love You
786,BIM,Barbados
787,BIMBO,Stupid girl
788,BIN,Buy It Now
789,BING,But It's Not Google
790,BINGO,Here it is
791,BINS,Glasses
792,BIO,Biological break
793,BION,Believe It Or Not
794,BIOS,Basic Input Output System
795,BIRD,Cocaine
796,BIS,Best In Slot
797,BISCUIT,Attractive person
798,BISLY,But I Still Love You
799,BISOU,Kiss
800,BISS,Because I Said So
801,BIT,Binary digIT - 1 or 0
802,BITD,Back In The Day
803,BITTIE,Girl
804,BITW,Best In The World
805,BIZ,Business
806,BK,Burger King
807,BKA,Better Known As
808,BL,Bad Luck
809,BLAD,Brother
810,BLAH,Nothing to say
811,BLANK,Ignore
812,BLAR,boredom
813,BLARG,boredom
814,BLAST,Damn
815,BLATES,Blatently
816,BLAZE,Smoke Weed
817,BLAZED,Stoned
818,BLAZING,Smoking weed
819,BLD,Bad Life Decision
820,BLEEZY,BLUNT
821,BLEH,boredom
822,BLEM,High on marijuana
823,BLG,Boys Like Girls 
824,BLICK,A very black person
825,BLIM,Small piece of HASH
826,BLIMEY,surprise
827,BLIND,In love
828,BLING,Flashy Jewelry
829,BLINK,Blink 182 
830,BLK,Black
831,BLL,Bud Light Lime
832,BLNT,Better Luck Next Time
833,BLOG,Weblog
834,BLOKE,Guy
835,BLOL,Big Laugh Out Loud
836,BLOOD,Gang member
837,BLOOPER,Mistake
838,BLOTTO,Drunk
839,BLOW,Cocaine
840,BLOWN,High
841,BLT,Bacon Lettuce and Tomato sandwich
842,BLTN,Better Late Than Never
843,BLUD,Mate
844,BLUE,Sad
845,BLUE CHIP,High-quality
846,BLUEBERRY,Form of marijuana
847,BLUF,Bottom Line Up Front
848,BLUNT,Marijuana cigar
849,BM,Bowel Movement
850,BM4L,Best Mates For Life
851,BMAK,Blow Me A Kiss
852,BMB,Bebo Me Back
853,BMBO,Blow My Brains Out
854,BME,Body Modification Ezine
855,BMFE,Best Mates Forever
856,BMFL,Best Mates For Life
857,BMG,Be My Guest
858,BMI,Body Mass Index
859,BML,Bless My Life
860,BMOC,Big Man On Campus
861,BMP,Image file format
862,BMS,Bitchy Men Syndrome
863,BMT,Before My Time
864,BMTH,Bring Me The Horizon 
865,BMTTVE,Best Mates 'Til The Very End
866,BMUS,Beam me up Scotty
867,BMV,Be My Valentine
868,BMW,Bavarian Motor Works
869,BMX,Bicycle Motocross
870,BNB,Bad News Bears
871,BNF,Big Name Fan
872,BNG,Blow And Go
873,BNI,Batteries Not Included
874,BNIB,Brand New In Box
875,BNOC,Big Name On Campus
876,BNP,British National Party
877,BNR,But Not Really
878,BNWOT,Brand New Without Tags
879,BNWT,Brand New With Tags
880,BO,Body Odour
881,BOAT,Bust Out Another Thousand
882,BOBBA,Replacement swear word
883,BOBFOC,Body Off Baywatch
884,BOD,Beginning Of Day
885,BOED,Book of Exalted Deeds 
886,BOF,Whatever
887,BOFFIN,Technical expert
888,BOG,Toilet
889,BOGAN,Poorly educated
890,BOGART,To Hold Onto Something For Oneself When It Is Supposed To Be Shared
891,BOGIE,Cigarette
892,BOGO,Buy One Get One
893,BOGOF,Buy One Get One Free
894,BOGSAT,Bunch Of Guys Sitting Around Talking
895,BOH,Gunshot sound
896,BOHO,Bohemian
897,BOI,Boy
898,BOILER,Ugly woman
899,BOKE,Gag
900,BOL,Best Of Luck
901,BOLO,Be On The Lookout
902,BOLSHY,Bolshevik
903,BOLTOP,Better On Lips Than On Paper
904,BOM,Bro
905,BOMB,Something really bad
906,BOMBSHELL,Very attractive woman
907,BOMM,BOOMM
908,BONE UP,Learn about
909,BONG,Water pipe for smoking dope
910,BONKERS,Crazy
911,BONZA,Brilliant
912,BOO,Boyfriend
913,BOOGER,Dried nose mucus
914,BOOHOO,Crying
915,BOOK,Cool 
916,BOOM,Great
917,BOOMERS,Psilocybin 
918,BOOMM,Bored Out Of My Mind
919,BOOMS,BOOMERS
920,BOOMTING,Good looking girl
921,BOON,Someone who has been a NOOB for ages
922,BOOT,Vomit
923,BOOZE,Alcoholic beverages
924,BOOZER,Public House
925,BOS,Boyfriend Over Shoulder
926,BOSS,Cool
927,BOT,Back On Topic
928,BOTCH,Mess up
929,BOTDF,Blood On The Dance Floor 
930,BOTN,Back Of The Net
931,BOTOH,But On The Other Hand
932,BOTS,Robots
933,BOTTS,Back On To The Subject
934,BOTW,Blog Of The Week
935,BOUL,Bull
936,BOUT,About
937,BOWL,Part of a marijuana pipe
938,BOWS,Elbows
939,BOXORZ,Boxers
940,BOYO,Friend
941,BOZO,Incompetent person
942,BPM,Beats Per Minute
943,BPS,Bits
944,BQ,Be Quiet
945,BR,Best Regards
946,BRAH,Bro
947,BRAT,Annoying
948,BRAVO,Well done
949,BRB,Be Right Back
950,BRBK,BRB
951,BRD,Black Rock Depths
952,BRE,Sexy girl
953,BREAD,Money
954,BREDA,Boy
955,BREDRIN,Friend
956,BREDRINS,Close friends
957,BREH,Brethren
958,BREKKIE,Breakfast
959,BREW,Beer
960,BRGDS,Best Regards
961,BRH,Be Right Here
962,BRICK,1 kilogram of a drug
963,BRICKS,Drugs
964,BRILL,Brilliant
965,BRITCHES,Pants
966,BRO,Brother
967,BROAD,Woman
968,BROCHACHO,BRO
969,BRODA,Bro Who Is Like Yoda
970,BROHAN,BRO
971,BROLLY,Umbrella
972,BRONY,Fan of My Little Pony
973,BROSKI,Bro
974,BROWN,Heroin
975,BROWN BREAD,Dead
976,BRT,Be Right There
977,BRU,Brother
978,BRUDDA,Brother
979,BRUH,Brother
980,BRUH BRUH,Brother
981,BRUK,Broken
982,BRUV,Mate
983,BRUVA,Brother
984,BSA,Boy Scouts of America
985,BSB,Backstreet Boys
986,BSC,Bachelor of Science
987,BSER,Back Stabber
988,BSF,But Seriously Folks
989,BSG,Battlestar Galactica 
990,BSL,British Sign Language
991,BSNS,Business
992,BSOD,Blue Screen Of Death
993,BSOF,Big Smile On Face
994,BSOFN,Big Smile On Face Now
995,BST,But Seriously Though
996,BSTL,Bam Said The Lady
997,BSTS,Better Safe Than Sorry
998,BSU,Boring Status Update
999,BT,BitTorrent
1000,BT DUBS,BTW
1001,BTA,But Then Again....
1002,BTAIM,Be That As It May
1003,BTB,By The By
1004,BTBAM,Between The Buried And Me 
1005,BTD,Bored To Death
1006,BTDT,Been There Done That
1007,BTDTGTTS,Been There Done That Got The T-Shirt
1008,BTDUBS,BTW
